,Date,EUR_USD,EUR_GBP
0,2020-01-01,1.1220825910568237,0.8461999893188477
1,2020-01-02,1.1220825910568237,0.8465700149536133
2,2020-01-03,1.1171437501907349,0.8495000004768372
3,2020-01-06,1.1161960363388062,0.8532900214195251
4,2020-01-07,1.1197994947433472,0.8499799966812134
5,2020-01-08,1.1154738664627075,0.8505300283432007
6,2020-01-09,1.1113210916519165,0.8478999733924866
7,2020-01-10,1.1111111640930176,0.8499500155448914
8,2020-01-13,1.1116669178009033,0.8521299958229065
9,2020-01-14,1.1135733127593994,0.8573200106620789
10,2020-01-15,1.113089919090271,0.8545200228691101
11,2020-01-16,1.1154004335403442,0.8550999760627747
12,2020-01-17,1.1139578819274902,0.8514000177383423
13,2020-01-20,1.1094592809677124,0.8529000282287598
14,2020-01-21,1.109693169593811,0.8532000184059143
15,2020-01-22,1.108561396598816,0.8496900200843811
16,2020-01-23,1.1096439361572266,0.8440999984741211
17,2020-01-24,1.1055220365524292,0.8425899744033813
18,2020-01-27,1.1025358438491821,0.8440200090408325
19,2020-01-28,1.101976990699768,0.8437100052833557
20,2020-01-29,1.1022562980651855,0.8462399840354919
21,2020-01-30,1.1016855239868164,0.8457499742507935
22,2020-01-31,1.1029127836227417,0.8427299857139587
