,Date,HPI EURO AREA,HPI PT
0,2000-01-01,65.9709278752815,103.8308413695479
1,2000-04-01,66.9847365760054,106.4142263115987
2,2000-07-01,68.1047908578969,108.14827921790678
3,2000-10-01,68.5121200186504,110.76705299478012
4,2001-01-01,69.4262334035311,111.82871803945856
5,2001-04-01,70.4012779844736,113.31504910200832
6,2001-07-01,71.5053825632377,113.63354861541184
7,2001-10-01,71.8688084040418,113.63354861541184
8,2002-01-01,73.4487408959696,113.73971511987968
9,2002-04-01,74.8845808162823,114.02282579846062
10,2002-07-01,76.2748700694972,113.70432628505704
11,2002-10-01,76.69845341677,113.77510395470227
12,2003-01-01,77.9123526402235,114.34132531186413
13,2003-04-01,79.3309957261319,115.01371317349376
14,2003-07-01,80.6946318976165,115.3676015217199
15,2003-10-01,81.5664010975086,115.43837919136512
16,2004-01-01,82.576701308225,115.57993453065558
17,2004-04-01,84.4557260574428,115.6507122003008
18,2004-07-01,86.2184250593519,115.8984340440591
19,2004-10-01,87.4505003203256,115.96921171370434
20,2005-01-01,88.8686417598294,115.75687870476868
21,2005-04-01,90.5588773468346,117.56170928072196
22,2005-07-01,92.3409309570484,120.0743165531275
23,2005-10-01,93.5792033433952,120.21587189241797
24,2006-01-01,94.4934897642916,120.28664956206316
25,2006-04-01,96.754676326552,121.02981509333806
26,2006-07-01,98.7813912835469,120.99442625851542
27,2006-10-01,99.4843177555617,121.27753693709636
28,2007-01-01,100.485973575634,121.91453596390338
29,2007-04-01,101.715427339446,121.4544811112094
30,2007-07-01,103.125414081157,122.30381314695214
31,2007-10-01,103.383637021373,120.1097053879501
32,2008-01-01,104.20526616396,117.13704326285055
33,2008-04-01,104.726054895424,114.44749181633196
34,2008-07-01,104.536448643973,110.8378306644254
35,2008-10-01,102.994176483574,112.7134389100239
36,2009-01-01,101.326826840701,113.10271609307266
37,2009-04-01,100.065201290515,111.1209413430063
38,2009-07-01,100.049330316232,111.61638503052286
39,2009-10-01,100.08041629003,112.74882774484652
40,2010-01-01,99.7470717163188,112.4657170662656
41,2010-04-01,100.692843079207,112.39493939662036
42,2010-07-01,101.331905046205,113.2796602671857
43,2010-10-01,101.580758629347,111.61638503052286
44,2011-01-01,101.318099672081,110.05927629832787
45,2011-04-01,101.736498220709,106.44961514642128
46,2011-07-01,102.056349176856,106.23728213748564
47,2011-10-01,100.94895904021,104.00778554366096
48,2012-01-01,100.305620310449,101.990621958772
49,2012-04-01,100.023125210976,102.87534282933736
50,2012-07-01,99.3915288588667,99.05334866849508
51,2012-10-01,98.8437679586015,96.71768557020262
52,2013-01-01,97.4957801106549,96.7530744050252
53,2013-04-01,97.6095426286012,96.57613023091214
54,2013-07-01,98.149121523865,96.61151906573475
55,2013-10-01,97.502221097196,97.10696275325134
56,2014-01-01,97.4066790927327,97.56701760594537
57,2014-04-01,98.3752664047149,97.77935061488104
58,2014-07-01,98.9527134326419,97.46085110147747
59,2014-10-01,98.3699980819857,98.69946032026895
60,2015-01-01,98.475001128523,100.00884720870566
61,2015-04-01,99.7611831954378,99.26568167743078
62,2015-07-01,100.702465714571,99.69034769530212
63,2015-10-01,101.061349961468,101.03512341856144
64,2016-01-01,101.945817224494,102.7337874900469
65,2016-04-01,103.517800286191,104.5740069008228
66,2016-07-01,105.1132927223,105.7064496151464
67,2016-10-01,105.644017906698,107.54666902592233
68,2017-01-01,106.427899933582,108.99761125364948
69,2017-04-01,107.996283271281,111.75794036981333
70,2017-07-01,109.694818360634,116.3938777315757
71,2017-10-01,110.597628806419,120.18048305759532
72,2018-01-01,111.698854049748,124.00247721843758
73,2018-04-01,113.334952917822,129.59391312041052
74,2018-07-01,115.158341638544,134.12368397770504
75,2018-10-01,115.925319582195,140.13978589754936
76,2019-01-01,116.375902315645,142.6877820047775
77,2019-04-01,118.290872803578,149.09316110767054
78,2019-07-01,119.868707330817,154.25993099177208
79,2019-10-01,120.933333784255,160.2760329116164
80,2020-01-01,122.317470155498,166.71680084933206
81,2020-04-01,124.327733744205,170.50340617535167
82,2020-07-01,126.124011037034,170.60957267981954
83,2020-10-01,128.114943805746,169.15863045209238
84,2021-01-01,129.88010977645305,171.9189595682562
85,2021-04-01,133.46058847839848,177.54578430505174
86,2021-07-01,137.73309247567795,182.6063876846855
87,2021-10-01,140.3206653191007,188.6578784393524
88,2022-01-01,142.61738695144106,198.1774750066354
89,2022-04-01,145.7365154564972,208.75873661859683
90,2022-07-01,146.98015511767713,219.26922056091303
91,2022-10-01,144.2521713447663,224.57754578430504
92,2023-01-01,143.10882520464926,232.22153410598955
93,2023-04-01,143.39967641573168,239.29930107051229
94,2023-07-01,143.74067438734554,247.72184375829428
95,2023-10-01,142.6274163035474,249.5974520038928
96,2024-01-01,142.717680472504,257.5599398389808
97,2024-04-01,145.39551748488338,264.03609661151904
98,2024-07-01,147.632063004586,267.2564805803769
99,2024-10-01,148.57482210257726,278.6516853932585
100,2025-01-01,,293.0549411660622
101,2025-04-01,,304.5917013182341
