IDRFME;DTREF;ANO;MES;TIMEID;DEF_12;nr_titulares;nr_outros_interv;PREST;max_escolaridade;min_escolaridade;max_risco_regiao;min_risco_regiao;n_tit_domvenc;med_domvenc;med_dias_devedor;flag_nao_resi;med_idade;younger;older;avg_dependentes;flag_resec;med_filhos;med_idade_filhos;med_rend_disp;pior_habitacao;best_habitacao;flag_resi;pior_vinclab;best_vinclab;best_prof2;pior_prof2;max_risco_origem2;min_risco_origem2;pior_estciv;best_estciv;CDTIPES;EXPOSICAO;MTLINHASDISP;PRAZO;FINALIDADE;FLAG_REEST;TXESFGLOBAL;FLG14PREST;OUT_VALPREST;INVALPRESTDUPLA;OUTVALPRESTDUPLA;CARNUM;PCTVALRES;SLDULTRESM;SLDPNTBSCAP1M;SLDPNTBSPPR;SLDPNTFUND;SLDPNTDEPPRZ;SLDPNTOUTDES;VALPRESTDUPLA;DO_PREST;DUMMYAUTONOVO;DUMMYPRAZO72_84;DUMMYPRAZOSUP84;DUMMYDOMVENC_AVAL;DUMMYRECPRAZO;DUMMYIFSUP5TC;INCTC;NUM_DEB_FINALtc;REC_PRAZO;NRDIASDEVEDOR;SLDPNTDO;SLDMDDOTM;SLDPNTTITRV;PLATRDIARIOCC;MEDR1MCC;MEDRADCC;MEDR1MCI;MEDRADCI;PRESTDIARIACI;MEDR1MCH;MEDRADCH;PRESTDIARIACH;MEDR1MCHP;SLDMDDEVAD;SLDMDDEV1M;SLDMDDEV3M;SLDMDDEV6M;TPRESTFRONTENDCI;flag_garant;flag_fin;envolvimento;ANTCONTA1;VARIOS_TITULARES;INDRESTRUT_num;flag14prest;SALDO_PONTUAL;naciona_final_num;naciona_rend_num;estciv_final_num
AA60013682259;2015-01-31;2015;1;201501;0;2;0;115.03;1;1;6;1;1;;0;0;54;53;55;1;0;2;11;260.91033333;5;2;1;2;2;4;4;2;2;2;1;P;3146;0;36;98;0;14.449;N;0.00;0.00;0.00;0;0.00000;25.333333;0.00;0.00;0.00;10.00;0.00;0;22.023240024;0;0;0;0;1;0;0;9;5.333333;0;7.89;;;300.00;;224.20;;;;;;;;0.000000;;;;0.00;1;1;4;;1;0;0;10;0;0;2
AA60013694221;2015-01-31;2015;1;201501;0;2;0;421.38;2;1;6;1;0;;0;0;41;38;44;0;0;0;0;550.64633333;2;1;1;1;1;3;6;2;2;2;1;P;14980.85;0;48;98;0;24.403;N;0.00;0.00;0.00;0;0.00000;463.000000;0.00;0.00;0.00;3000.00;0.00;0;109.87707058;0;0;0;0;1;0;0;5;96.666667;0;2152.98;;;750.00;;0.00;;;;;;;;;;;;0.00;1;1;2;;1;0;0;3000;0;0;2
AA60013694429;2015-01-31;2015;1;201501;0;1;0;124.81;3;3;8;8;1;0.00;0;0;28;28;28;0;0;0;0;209.912;5;5;1;1;1;6;6;2;2;5;5;P;5288.6;0;60;98;0;29.830;N;0.00;0.00;0.00;0;0.00000;40.000000;0.00;0.00;0.00;25.00;0.00;0;32.048714045;0;0;0;0;1;0;0;39;8.333333;0;-834.47;;;;;;;;;;;;;834.470000;211.000000;71.000000;35.500000;0.00;1;1;4;;0;0;0;25;0;0;1
AA60013696259;2015-01-31;2015;1;201501;0;1;2;188.34;1;1;7;7;0;;0;0;25;25;25;0;0;0;0;347.19333333;5;5;1;1;1;4;4;2;2;5;5;P;6645.56;0;48;98;0;28.134;N;0.00;0.00;0.00;0;0.00000;494.000000;0.00;0.00;0.00;41.00;0.00;0;262.2916003;0;0;0;0;1;0;0;16;5;0;1780.79;;;;;;;;;;;;;;;;;0.00;0;1;2;;0;0;0;41;0;0;1
AA60013699465;2015-01-31;2015;1;201501;0;1;0;121.93;3;3;8;8;1;;0;0;27;27;27;0;0;0;0;858.97;4;4;1;1;1;5;5;2;2;5;5;P;5278.73;0;60;98;0;23.015;N;0.00;0.00;0.00;0;0.00000;174.333333;0.00;0.00;0.00;70.00;0.00;0;142.97821127;0;0;0;0;1;0;0;58;18;0;1.81;;;400.00;;367.73;;;;;;;;0.000000;;;;0.00;1;1;2;;0;0;0;70;0;0;1
AA60013701008;2015-01-31;2015;1;201501;0;2;0;89.7;1;1;8;1;0;;0;0;50;49;51;0;0;0;0;385.93466667;3;2;1;1;1;5;6;2;2;2;1;P;3136.87;0;48;98;0;26.497;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;90.77;;;300.00;;0.00;;;;;;;;;;;;0.00;1;1;1;;1;0;0;0;0;0;2
AA60013702039;2015-01-31;2015;1;201501;0;2;0;280.73;1;1;4;1;2;0.00;0;0;41;40;42;1;0;1;3;259.12;5;2;1;2;1;4;5;2;2;2;2;P;7665.59;0;36;98;0;29.619;N;0.00;0.00;0.00;0;0.00000;148.000000;0.00;0.00;0.00;0.00;0.00;0;52.719695081;0;0;0;0;0;0;0;23;0;0;-32.95;;;300.00;;0.00;;;;;;;;32.950000;;;;0.00;1;1;2;;1;0;0;0;0;0;6
AA60013702244;2015-01-31;2015;1;201501;0;2;0;186.61;1;1;3;1;0;;0;0;35.5;35;36;2;0;2;3.75;348.96566667;3;2;1;1;1;4;4;2;2;2;1;P;7950.34;0;60;98;0;14.495;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;1.38;;;150.00;;0.00;;;;;;;;0.000000;;;;0.00;1;1;1;;1;0;0;0;0;0;2
AA60013702286;2015-01-31;2015;1;201501;0;1;0;133.08;1;1;7;7;1;0.00;0;0;50;50;50;0;0;0;0;475.742;5;5;1;1;1;4;4;2;2;4;4;P;4682.99;0;48;98;0;17.486;N;0.00;0.00;0.00;0;0.00000;16.666667;0.00;0.00;0.00;0.00;0.00;0;12.523795461;0;0;0;0;0;0;0;0;0;0;0.69;;;190.00;;0.00;;;;;;;;0.000000;;;;0.00;1;1;1;;0;0;0;0;0;0;4
AA60013702713;2015-01-31;2015;1;201501;0;1;2;91.86;1;1;3;3;1;;0;0;66;66;66;0;0;2;35;482.05933333;5;5;1;2;2;4;4;2;2;3;3;P;3959.19;0;60;98;0;12.804;N;0.00;0.00;0.00;0;0.00000;62.333333;0.00;0.00;0.00;30.00;0.00;0;67.856883301;0;0;0;0;1;0;0;11;7.666667;0;213.41;22.000000;;300.00;;0.00;;;;;;;;;;;;0.00;0;1;4;;0;0;0;30;0;0;3
