IDRFME;DTREF;ANO;MES;TIMEID;DEF_12;nr_titulares;nr_outros_interv;PREST;max_escolaridade;min_escolaridade;max_risco_regiao;min_risco_regiao;n_tit_domvenc;med_domvenc;med_dias_devedor;flag_nao_resi;med_idade;younger;older;avg_dependentes;flag_resec;med_filhos;med_idade_filhos;med_rend_disp;pior_habitacao;best_habitacao;flag_resi;pior_vinclab;best_vinclab;best_prof2;pior_prof2;max_risco_origem2;min_risco_origem2;pior_estciv;best_estciv;CDTIPES;EXPOSICAO;MTLINHASDISP;PRAZO;FINALIDADE;FLAG_REEST;TXESFGLOBAL;FLG14PREST;OUT_VALPREST;INVALPRESTDUPLA;OUTVALPRESTDUPLA;CARNUM;PCTVALRES;SLDULTRESM;SLDPNTBSCAP1M;SLDPNTBSPPR;SLDPNTFUND;SLDPNTDEPPRZ;SLDPNTOUTDES;VALPRESTDUPLA;DO_PREST;DUMMYAUTONOVO;DUMMYPRAZO72_84;DUMMYPRAZOSUP84;DUMMYDOMVENC_AVAL;DUMMYRECPRAZO;DUMMYIFSUP5TC;INCTC;NUM_DEB_FINALtc;REC_PRAZO;NRDIASDEVEDOR;SLDPNTDO;SLDMDDOTM;SLDPNTTITRV;PLATRDIARIOCC;MEDR1MCC;MEDRADCC;MEDR1MCI;MEDRADCI;PRESTDIARIACI;MEDR1MCH;MEDRADCH;PRESTDIARIACH;MEDR1MCHP;SLDMDDEVAD;SLDMDDEV1M;SLDMDDEV3M;SLDMDDEV6M;TPRESTFRONTENDCI;flag_garant;flag_fin;envolvimento;ANTCONTA1;VARIOS_TITULARES;INDRESTRUT_num;flag14prest;SALDO_PONTUAL;naciona_final_num;naciona_rend_num;estciv_final_num
AA60015924393;2018-05-31;2018;5;201805;0;1;1;271.55;3;3;7;7;1;;0;0;28;28;28;0;0;0;0;288.45;5;5;1;2;2;2;2;2;2;5;5;P;11016.38;0;48;98;0;38.792;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0.00;;;1150.00;;0.00;;;;;;;;0.000000;;14.000000;10.500000;0.00;0;1;1;;0;0;0;0;0;0;1
AA60015924453;2018-05-31;2018;5;201805;1;2;0;266.73;1;1;8;1;2;;0;0;38.5;38;39;0;0;0;0;99.539333333;4;2;1;3;1;4;5;2;2;2;1;P;16435.02;0;84;98;0;41.387;N;0.00;0.00;0.00;0;0.00000;409.333333;0.00;0.00;0.00;0.00;0.00;0;153.46355228;0;1;0;0;0;1;0;43;0;0;-18.12;0.000000;;500.00;428.767667;505.56;;;;;;;;18.120000;;;;0.00;1;1;2;;1;0;0;0;0;0;2
AA60015925329;2018-06-30;2018;6;201806;0;2;0;77.83;1;1;4;1;2;;0;0;65.5;64;67;0;0;0;0;268.94333333;3;2;1;2;2;4;4;2;2;2;1;P;3062.61;0;48;98;0;8.977;N;0.00;0.00;0.00;0;0.00000;15.000000;0.00;0.00;0.00;0.00;0.00;0;19.272773995;0;0;0;0;0;0;0;11;0;0;122.18;0.000000;;;;;;;;;;;;;;;;0.00;1;1;4;;1;0;0;0;0;0;2
AA60015925342;2018-06-30;2018;6;201806;0;2;0;79.65;1;1;7;1;2;;5;0;50;49;51;0;0;0;0;411.38316667;4;2;1;3;1;4;4;2;2;2;1;P;2473.36;0;36;98;0;27.036;N;0.00;0.00;0.00;0;0.00000;43.333333;0.00;0.00;0.00;0.00;0.00;0;54.404686755;0;0;0;0;0;0;0;11;0;9;14.96;;;400.00;388.049000;404.65;;;;;;;;0.000000;;;;0.00;1;1;4;;1;0;0;0;0;0;2
AA60015925448;2018-06-30;2018;6;201806;1;1;0;269.73;1;1;9;9;0;;0;0;20;20;20;0;0;0;0;364.50933333;5;5;1;1;1;2;2;2;2;5;5;P;14925;0;72;98;0;34.022;N;0.00;0.00;0.00;0;0.00000;16.333333;0.00;0.00;0.00;0.00;0.00;0;6.0554380306;0;0;0;0;0;0;0;2;0;0;1.15;;;;;;;;;;;;;;;;;0.00;1;1;1;;0;0;0;0;0;0;1
AA60015925478;2018-06-30;2018;6;201806;0;1;0;339.02;3;3;7;7;1;;0;0;39;39;39;0;0;0;0;1783.6093333;4;4;1;3;3;3;3;2;2;5;5;P;10910.45;0;36;98;0;25.593;N;0.00;0.00;0.00;0;0.00000;1762.000000;0.00;0.00;0.00;0.00;0.00;0;519.73334906;0;0;0;0;0;0;0;31;0;0;7570.12;1752.333333;;1000.00;679.971667;791.08;;;;;;;;0.000000;;;;0.00;1;1;2;;0;0;0;0;0;0;1
AA60015925731;2018-06-30;2018;6;201806;0;1;1;119.06;1;1;7;7;0;;0;0;26;26;26;0;0;0;0;519.74;5;5;1;1;1;3;3;2;2;5;5;P;5617.69;0;60;98;0;14.910;N;0.00;0.00;0.00;0;0.00000;13.333333;0.00;0.00;0.00;0.00;0.00;0;11.198835041;0;0;0;0;0;0;0;0;0;0;17.33;;;190.00;;0.00;;;;;;;;;;;;0.00;0;1;1;;0;0;0;0;0;0;1
AA60015926234;2018-06-30;2018;6;201806;1;2;0;370.23;1;1;8;1;0;;0;0;38;33;43;1;0;0;0;468.24266667;3;2;1;1;1;4;6;2;2;2;1;P;23794.3;0;84;98;0;17.662;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;1;0;0;0;0;0;0;0;0;55.17;;;500.00;;212.48;;;;;;;;0.000000;;;;0.00;1;1;1;;1;0;0;0;0;0;2
AA60015926309;2018-06-30;2018;6;201806;1;1;0;34.51;1;1;8;8;1;;0;0;23;23;23;0;0;0;0;467.54433333;5;5;1;3;3;4;4;2;2;5;5;P;828.32;0;24;98;0;5.499;N;0.00;0.00;0.00;0;0.00000;42.666667;0.00;0.00;0.00;0.00;0.00;0;123.63566213;0;0;0;0;0;0;0;20;0;0;3.73;8.666667;;;;;;;;;;;;0.000000;;;;0.00;1;1;4;;0;0;0;0;0;0;1
AA60015926599;2018-06-30;2018;6;201806;0;1;1;168.42;1;1;6;6;1;;0;0;21;21;21;0;0;0;0;526.84666667;5;5;1;2;2;6;6;2;2;5;5;P;8411.64;0;60;98;0;19.379;N;0.00;0.00;0.00;0;0.00000;157.666667;0.00;0.00;0.00;0.00;0.00;0;93.615168626;0;0;0;0;0;0;0;7;0;0;668.55;0.000000;;;;;;;;;;;;;;;;0.00;0;1;2;;0;0;0;0;0;0;1
AA60015927274;2018-06-30;2018;6;201806;0;1;0;606.72;1;1;7;7;0;;0;0;47;47;47;0;0;0;0;4867.9066667;3;3;1;1;1;3;3;2;2;4;4;P;34790.57;0;72;98;0;8.865;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0.00;;;;;;;;;;;;;;;;;0.00;1;1;1;;0;0;0;0;0;0;4
AA60015927338;2018-06-30;2018;6;201806;1;2;0;376.44;1;1;7;1;0;;0;0;26;25;27;1;0;0;0;430.06;5;2;1;1;1;3;6;2;2;2;1;P;23442.26;0;84;98;0;29.528;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;1;0;0;0;0;0;0;0;0;100.00;;;650.00;;0.00;;;;;;;;;;;;0.00;1;1;1;;1;0;0;0;0;0;2
AA60015927575;2018-06-30;2018;6;201806;1;1;0;67.08;3;3;6;6;0;;0;0;27;27;27;1;0;0;0;82.888;5;5;1;2;2;1;1;2;2;5;5;P;3152.43;0;60;98;0;35.783;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;45.43;;;190.00;;0.00;;;;;;;;;;;;0.00;1;1;1;;0;0;0;0;0;0;1
AA60015928532;2018-06-30;2018;6;201806;0;1;0;96.65;1;1;7;7;1;;0;0;24;24;24;0;0;0;0;249.48666667;5;5;1;2;2;6;6;2;2;5;5;P;2101.12;0;24;98;0;22.337;N;0.00;0.00;0.00;0;0.00000;253.333333;0.00;0.00;0.00;0.00;0.00;0;262.11415727;0;0;0;0;0;0;0;26;0;0;278.87;42.333333;;;;;;;;;;;;;;;;0.00;1;1;2;;0;0;0;0;0;0;1
AA60015929023;2018-06-30;2018;6;201806;0;1;0;172.72;1;1;7;7;0;;0;0;26;26;26;1;0;0;0;371.95466667;5;5;1;1;1;6;6;2;2;5;5;P;9749.97;0;72;98;0;25.368;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;250.00;;;0.00;;0.00;;;;;;;;;;;;0.00;1;1;1;;0;0;0;0;0;0;1
AA60015929690;2018-06-30;2018;6;201806;1;1;0;69.38;1;1;10;10;1;;0;0;22;22;22;0;0;2;3;192.10066667;4;4;1;2;2;4;4;2;2;5;5;P;3258.62;0;60;98;0;23.391;N;0.00;0.00;0.00;0;0.00000;2.666667;0.00;0.00;0.00;0.00;0.00;0;3.8435673105;0;0;0;0;0;0;0;4;0;0;258.33;;;;;;;;;;;;;;;;;0.00;1;1;1;;0;0;0;0;0;0;1
AA60015929745;2018-06-30;2018;6;201806;1;2;2;321.27;3;3;7;1;0;;0;0;38;38;38;1;0;1;0.5;359.83833333;5;2;1;3;1;1;5;2;2;2;1;P;20539.97;0;84;98;0;24.490;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;1;0;0;0;0;0;0;0;0;0.00;;;500.00;;424.96;;;;;;;;;;;;0.00;0;1;1;;1;0;0;0;0;0;2
AA60015930232;2018-06-30;2018;6;201806;0;1;0;81.97;1;1;9;9;1;;0;0;40;40;40;0;0;0;0;455.63;5;5;1;1;1;4;4;2;2;5;5;P;3223.63;0;48;98;0;12.197;N;0.00;0.00;0.00;0;0.00000;45.666667;0.00;0.00;0.00;0.00;0.00;0;55.711439551;0;0;0;0;0;0;0;11;0;0;-69.84;0.000000;;;;;;;;;;;;69.840000;;;;0.00;1;1;4;;0;0;0;0;0;0;1
AA60015931032;2018-06-30;2018;6;201806;0;2;0;132.28;1;1;6;1;0;;0;0;35;34;36;0;0;0;0;296.86133333;5;2;1;2;1;4;4;2;2;2;1;P;8202.04;0;84;98;0;14.557;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;1;0;0;0;0;0;0;0;0;7.28;;;500.00;;0.00;;;;;;;;0.000000;;;;0.00;1;1;1;;1;0;0;0;0;0;2
AA60015931037;2018-06-30;2018;6;201806;0;1;1;46.26;3;3;7;7;0;;0;0;25;25;25;0;0;0;0;848.52;1;1;1;1;1;6;6;2;2;5;5;P;2172.08;0;60;98;0;20.858;N;0.00;0.00;0.00;0;0.00000;30.333333;0.00;0.00;0.00;0.00;0.00;0;65.571407263;0;0;0;0;0;0;0;0;0;0;47.40;;;;;;;;;;;;;;;;;0.00;0;1;2;;0;0;0;0;0;0;1
AA60015931536;2018-06-30;2018;6;201806;0;1;0;137.38;1;1;4;4;1;;0;0;32;32;32;0;0;0;0;410.47466667;4;4;1;2;2;4;4;2;2;5;5;P;5538.57;0;48;98;0;34.883;N;0.00;0.00;0.00;0;0.00000;468.000000;0.00;0.00;0.00;0.00;0.00;0;340.66094046;0;0;0;0;0;0;0;12;0;0;1333.64;;;;;;;;;;;;;0.000000;;;;0.00;1;1;2;;0;0;0;0;0;0;1
AA60015931782;2018-06-30;2018;6;201806;0;1;0;120.64;1;1;6;6;1;;0;0;41;41;41;0;0;0;0;476.546;1;1;1;1;1;4;4;2;2;4;4;P;6939.34;0;72;98;0;35.176;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;762.84;;;150.00;;0.00;;;;;;;;;;;;0.00;1;1;1;;0;0;0;0;0;0;4
AA60015932014;2018-06-30;2018;6;201806;0;3;0;476.76;1;1;7;1;0;;0;0;31;28;43;0;0;0;0;701.89333333;5;2;1;2;1;4;6;2;2;3;1;P;27276.35;0;72;98;0;21.620;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;0.00;1;1;1;;1;0;0;0;0;0;2
AA60015932063;2018-06-30;2018;6;201806;0;1;0;148.94;1;1;8;8;1;;0;0;22;22;22;0;0;0;0;859.04133333;5;5;1;3;3;4;4;2;2;5;5;P;7289.68;0;60;98;0;11.820;N;0.00;0.00;0.00;0;0.00000;147.000000;0.00;0.00;0.00;0.00;0.00;0;98.697462065;0;0;0;0;0;0;0;36;0;0;602.59;;;190.00;;118.46;;;;;;;;;;;;0.00;1;1;2;;0;0;0;0;0;0;1
AA60015932589;2018-06-30;2018;6;201806;0;2;0;214.6;1;1;7;1;2;;0;0;38;37;39;1;0;1;9;429.5;2;1;1;1;1;5;5;2;2;2;1;P;14135.47;0;84;98;0;32.710;N;0.00;0.00;0.00;0;0.00000;8070.000000;0.00;0.00;0.00;0.00;0.00;0;3760.4846226;0;1;0;0;0;0;0;29;0;0;5065.10;;;;;;;;;;;;;;;;;0.00;1;1;2;;1;0;0;0;0;0;2
AA60015932598;2018-06-30;2018;6;201806;1;1;0;84.28;1;1;5;5;0;;0;0;32;32;32;0;0;0;0;607.50833333;4;4;1;3;3;4;4;2;2;5;5;P;2022.73;0;24;98;0;25.502;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;102.00;;;190.00;;115.51;;;;;;;;0.000000;;;;0.00;1;1;1;;0;0;0;0;0;0;1
AA60015932639;2018-06-30;2018;6;201806;0;1;0;76.46;1;1;8;8;1;;6;0;37;37;37;0;0;0;0;986.55266667;5;5;1;1;1;6;6;2;2;5;5;P;1835.05;0;24;98;0;38.283;N;0.00;0.00;0.00;0;0.00000;114.000000;0.00;0.00;0.00;0.00;0.00;0;149.09756736;0;0;0;0;0;0;0;1;0;6;44217.76;;;;;;;;;;144575.95;432.24;;;;;;0.00;1;1;2;;0;0;0;0;0;0;1
AA60015932660;2018-06-30;2018;6;201806;0;1;0;54.31;1;1;8;8;0;;0;0;41;41;41;0;0;0;0;0;5;5;1;1;1;6;6;2;2;5;5;P;2606.78;0;48;98;0;88.911;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;5500.00;0.00;0;0;0;0;0;0;1;0;0;0;0;0;3400.00;;;150.00;;0.00;;;;;;;;;;;;0.00;1;1;1;;0;0;0;5500;0;0;1
AA60015932689;2018-06-30;2018;6;201806;0;1;0;34.51;1;1;8;8;0;;0;0;30;30;30;0;0;0;0;637.24733333;5;5;1;1;1;6;6;2;2;5;5;P;828.32;0;24;98;0;27.738;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0.00;;;1000.00;;0.00;8618.637333;8453.94;198.41;;;;;0.000000;3.000000;5.000000;2.500000;198.41;1;1;1;;0;0;0;0;0;0;1
AA60015932710;2018-06-30;2018;6;201806;1;2;0;85.88;3;1;8;1;0;;0;0;35.5;33;38;0;0;2;3.75;513.767;2;1;1;1;1;1;5;2;2;2;1;P;4032.31;0;60;98;0;20.150;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;4.82;;;;;0.00;;;;;;;;;;;;0.00;1;1;1;;1;0;0;0;0;0;2
AA60015932758;2018-06-30;2018;6;201806;1;1;0;177.63;1;1;8;8;0;;0;0;52;52;52;0;0;0;0;406.40333333;3;3;1;1;1;4;4;2;2;5;5;P;8666.28;0;60;98;0;30.815;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0.00;;;;;;;;;;;;;;;;;0.00;1;1;1;;0;0;0;0;0;0;1
AA60015933545;2018-06-30;2018;6;201806;0;2;0;84.82;1;1;10;1;0;;0;0;38;32;44;0;0;0;0;608.476;3;2;1;1;1;4;6;2;2;2;1;P;5268.41;0;84;98;0;15.336;N;0.00;0.00;0.00;0;0.00000;3301.666667;0.00;0.00;0.00;1600.14;0.00;0;3892.5567873;0;1;0;0;1;0;0;9;0;0;257.48;;;500.00;;0.00;10379.529000;11532.81;175.73;;;;;0.000000;;;;175.73;1;1;2;;1;0;0;1600.14;0;0;2
AA60015933804;2018-06-30;2018;6;201806;0;1;0;361.01;3;3;8;8;1;;0;0;30;30;30;0;0;0;0;683.95533333;5;5;1;1;1;4;4;2;2;5;5;P;23966.89;0;84;98;0;27.638;N;0.00;0.00;0.00;0;0.00000;431.666667;0.00;0.00;0.00;0.00;0.00;0;119.57194177;0;1;0;0;0;0;0;28;0;0;823.73;335.000000;;400.00;8.984667;89.21;17230.128333;17029.92;304.39;;;;;;;;;0.00;1;1;2;;0;0;0;0;0;0;1
AA60015934075;2018-06-30;2018;6;201806;0;2;0;293.77;3;1;3;1;2;;0;0;30.5;29;32;0;0;0;0;602.17966667;2;1;1;1;1;2;5;2;2;2;1;P;17207.31;0;72;98;0;25.200;N;0.00;0.00;0.00;0;0.00000;526.666667;0.00;0.00;0.00;400.00;0.00;0;179.27857405;0;0;0;0;1;0;0;40;0;0;872.79;;;750.00;;0.00;;;;97500.000000;97351.93;270.68;;0.000000;;;;0.00;1;1;2;;1;0;0;400;0;0;2
AA60015934252;2018-06-30;2018;6;201806;1;1;0;42.14;1;1;8;8;0;;0;0;44;44;44;0;0;0;0;680.09133333;4;4;1;2;2;4;4;2;2;5;5;P;1011.36;0;24;98;0;17.622;N;0.00;0.00;0.00;0;0.00000;94.333333;0.00;0.00;0.00;0.00;0.00;0;223.85698386;0;0;0;0;0;0;0;14;0;0;574.08;12.333333;;190.00;174.084667;179.65;;;;;;;;0.000000;;;;0.00;1;1;4;;0;0;0;0;0;0;1
AA60015934343;2018-06-30;2018;6;201806;0;2;0;68.64;1;1;9;1;0;;0;0;36.5;35;38;0;0;0;0;232.51366667;5;2;1;2;1;4;6;2;2;2;2;P;1647.34;0;24;98;0;21.750;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;500.00;;;500.00;;0.00;;;;;;;;;;;;0.00;1;1;1;;1;0;0;0;0;0;6
AA60015935692;2018-06-30;2018;6;201806;0;1;0;137.14;1;1;6;6;1;;0;0;42;42;42;0;0;0;0;1656.9506667;5;5;1;1;1;5;5;2;2;5;5;P;4252.55;0;36;98;0;6.115;N;0.00;0.00;0.00;0;0.00000;495.666667;0.00;0.00;0.00;0.00;0.00;0;361.43114117;0;0;0;0;0;0;0;39;0;0;204.37;34.000000;;;;;1220.529333;2516.92;120.33;;;;;;;;;0.00;1;1;2;;0;0;0;0;0;0;1
AA60015935882;2018-06-30;2018;6;201806;0;1;0;68.64;1;1;7;7;1;;0;0;23;23;23;0;0;0;0;429.82233333;5;5;1;2;2;5;5;2;2;5;5;P;1647.34;0;24;98;0;26.708;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;282.96;;;400.00;;0.00;;5580.18;22.17;;;;;;;;;22.17;1;1;1;;0;0;0;0;0;0;1
AA60015936124;2018-06-30;2018;6;201806;0;1;0;34.51;1;1;7;7;0;;0;0;32;32;32;0;0;0;0;1276.8233333;1;1;1;1;1;3;3;2;2;5;5;P;828.32;0;24;98;0;24.442;N;0.00;0.00;0.00;0;0.00000;117.000000;0.00;0.00;0.00;0.00;0.00;0;339.03216459;0;0;0;0;0;0;0;7;0;0;30.84;;;500.00;1.760000;56.92;334.986000;10049.58;204.98;42641.854000;42539.90;161.17;;0.000000;;;0.500000;204.98;1;1;3;;0;0;0;0;0;0;1
AA60015936155;2018-06-30;2018;6;201806;0;1;0;76.46;1;1;7;7;0;;0;0;55;55;55;0;0;0;0;589.21233333;3;3;1;1;1;4;4;2;2;4;4;P;1835.05;0;24;98;0;33.590;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;50.00;;;;;;;;;;;;;;;;;0.00;1;1;1;;0;0;0;0;0;0;4
AA60015936499;2018-06-30;2018;6;201806;0;2;0;256.56;1;1;2;1;0;;0;0;28.5;28;29;0;0;0;0;182.73666667;5;2;1;1;1;6;6;2;2;2;2;P;16846.82;0;84;98;0;23.360;N;0.00;0.00;0.00;0;0.00000;394.000000;0.00;0.00;0.00;0.00;0.00;0;153.57031494;0;1;0;0;0;0;0;14;0;0;572.21;;;;;0.00;;;;;;;;;;;;0.00;1;1;2;;1;0;0;0;0;0;6
AA60015936977;2018-06-30;2018;6;201806;0;2;0;304.64;3;1;7;1;2;;0;0;42.5;40;45;0;0;0;0;772.5345;5;2;1;1;1;3;3;2;2;2;1;P;26984.9;0;120;98;0;37.267;N;0.00;0.00;0.00;0;0.00000;508.666667;0.00;0.00;0.00;0.00;0.00;0;166.97303933;0;0;1;0;0;1;0;32;122.333333;0;48.31;;;750.00;138.150000;442.80;;;;;;;;;;;;0.00;1;1;2;;1;0;0;0;0;0;2
AA60015937119;2018-06-30;2018;6;201806;0;1;0;134.91;1;1;4;4;1;;0;0;25;25;25;1;0;1;5;752.44866667;5;5;1;3;3;6;6;2;2;5;5;P;5530.45;0;48;98;0;12.162;N;0.00;0.00;0.00;0;0.00000;161.000000;0.00;0.00;0.00;0.00;0.00;0;119.33881847;0;0;0;0;0;0;0;45;0;0;560.10;;;190.00;;0.00;;;;;;;;0.000000;;;;0.00;1;1;2;;0;0;0;0;0;0;1
AA60015937673;2018-06-30;2018;6;201806;0;1;0;104.93;3;3;8;8;0;;0;0;42;42;42;0;0;0;0;524.48533333;4;4;1;1;1;4;4;2;2;5;5;P;4924.48;0;60;98;0;24.011;N;0.00;0.00;0.00;0;0.00000;29.666667;0.00;0.00;0.00;0.00;0.00;0;28.272817116;0;0;0;0;0;0;0;12;0;0;512.09;0.000000;;400.00;382.464000;424.96;;;;;;;;0.000000;;;;0.00;1;1;4;;0;0;0;0;0;0;1
AA60015938166;2018-06-30;2018;6;201806;0;1;0;69.4;1;1;8;8;1;;0;0;30;30;30;0;0;0;0;602.35733333;5;5;1;1;1;6;6;2;2;5;5;P;3256.23;0;60;98;0;31.893;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;5.74;;;500.00;;50.41;8618.637333;8453.94;198.41;;;;;0.000000;3.000000;5.000000;2.500000;198.41;1;1;1;;0;0;0;0;0;0;1
AA60015938205;2018-06-30;2018;6;201806;0;1;0;105.26;3;3;8;8;0;;0;0;44;44;44;0;0;0;0;131.374;5;5;1;2;2;4;4;2;2;5;5;P;4938.69;0;60;98;0;35.585;N;0.00;0.00;0.00;0;0.00000;25.333333;0.00;0.00;0.00;0.00;0.00;0;24.067388372;0;0;0;0;0;0;0;1;0;0;2907.43;;;190.00;;0.00;;;;;;;;;;;;0.00;1;1;2;;0;0;0;0;0;0;1
AA60015938326;2018-06-30;2018;6;201806;0;1;0;34.51;3;3;7;7;0;;0;0;46;46;46;0;0;0;0;826.95666667;3;3;1;1;1;3;3;2;2;4;4;P;828.32;0;24;98;0;30.191;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;25.00;0.00;0;0;0;0;0;0;1;0;0;0;0;0;267.80;;;1000.00;;0.00;;;;;;;;0.000000;;;;0.00;1;1;1;;0;0;0;25;0;0;4
AA60015938380;2018-06-30;2018;6;201806;0;2;0;124.63;1;1;6;1;2;;0;0;34;34;34;0;0;0;0;286.37266667;5;2;1;2;1;4;4;2;2;2;1;P;6169.59;0;60;98;0;14.297;N;0.00;0.00;0.00;0;0.00000;67.666667;0.00;0.00;0.00;0.00;0.00;0;54.29404397;0;0;0;0;0;0;0;14;0;0;678.36;;;400.00;;0.00;;;;;;;;;;;;0.00;1;1;4;;1;0;0;0;0;0;2
AA60015938925;2018-06-30;2018;6;201806;0;1;0;116.29;1;1;7;7;0;;0;0;30;30;30;0;0;0;0;957.04333333;5;5;1;1;1;3;3;2;2;5;5;P;5607.56;0;60;98;0;8.667;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;100.00;;;500.00;;0.00;;;;;;;;;;;;0.00;1;1;1;;0;0;0;0;0;0;1
AA60015938971;2018-06-30;2018;6;201806;0;1;0;178.34;3;3;8;8;1;;1;0;33;33;33;1;0;0;0;4224.448;1;1;1;1;1;3;3;2;2;5;5;P;11711.81;0;84;98;0;13.158;N;0.00;0.00;0.00;0;0.00000;2453.000000;0.00;0.00;0.00;25000.00;0.00;0;1375.4625995;0;1;0;0;1;0;0;11;25000;1;4643.32;4391.666667;;1750.00;282.076667;1296.30;;;;177500.000000;177189.04;504.58;;;;33.000000;16.500000;0.00;1;1;2;;0;0;0;25000;0;0;1
AA60015939008;2018-06-30;2018;6;201806;0;1;1;227.76;1;1;8;8;1;;0;0;49;49;49;0;0;0;0;540.11;5;5;1;2;2;4;4;2;2;5;5;P;14538.12;0;84;98;0;36.038;N;0.00;0.00;0.00;0;0.00000;569.000000;0.00;0.00;0.00;0.00;0.00;0;249.82437654;0;1;0;0;0;0;0;17;0;0;280.43;;;;;;;;;;;;;0.000000;;;;0.00;0;1;2;;0;0;0;0;0;0;1
AA60015939055;2018-06-30;2018;6;201806;0;2;0;204.3;1;1;7;1;2;;0;0;50;48;52;2;0;2;9;109.85;3;2;1;2;1;3;4;2;2;2;1;P;11896.39;0;72;98;0;32.332;N;0.00;0.00;0.00;0;0.00000;462.333333;0.00;0.00;0.00;0.00;0.00;0;226.3011909;0;0;0;0;0;1;0;51;20.666667;0;-494.49;;;500.00;34.000000;60.00;;;;;;;;494.490000;;;;0.00;1;1;2;;1;0;0;0;0;0;2
AA60015939555;2018-06-30;2018;6;201806;0;2;0;266.62;1;1;3;1;0;;1;0;45;43;47;0;0;0;0;509.7095;5;2;1;1;1;5;6;2;2;2;1;P;20556.99;0;120;98;0;27.392;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;1000.00;0.00;0;0;0;0;1;0;1;0;0;0;0;1;1866.64;;;750.00;;0.00;;;;;34000.00;0.00;;0.000000;;;;0.00;1;1;1;;1;0;0;1000;0;0;2
AA60015940030;2018-06-30;2018;6;201806;0;1;2;127.77;1;1;4;4;0;;0;0;36;36;36;0;0;0;0;514.91333333;5;5;1;3;3;5;5;2;2;5;5;P;6179.23;0;60;98;0;15.904;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;100.00;;;;;;;;;;;;;;;;;0.00;0;1;1;;0;0;0;0;0;0;1
AA60015940117;2018-06-30;2018;6;201806;0;1;0;61.48;1;1;7;7;0;;0;0;54;54;54;0;0;2;20.5;586.69;3;3;1;1;1;4;4;2;2;5;5;P;2419.22;0;48;98;0;7.588;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0.00;;;;;;;;;;;;;;;;;0.00;1;1;1;;0;0;0;0;0;0;1
